listing_id,observed_nights,occupied_nights,occupancy_rate,estimated_revenue,average_booked_price
902243,365,12,0.03287671232876712,0.0,
902609,365,37,0.10136986301369863,0.0,
904057,365,107,0.29315068493150687,0.0,
909102,365,14,0.038356164383561646,0.0,
910784,365,19,0.052054794520547946,0.0,
911001,365,130,0.3561643835616438,0.0,
921571,365,237,0.6493150684931507,0.0,
922986,365,6,0.01643835616438356,0.0,
931154,365,6,0.01643835616438356,0.0,
931758,365,9,0.024657534246575342,0.0,
931785,365,4,0.010958904109589041,0.0,
934123,365,5,0.0136986301369863,0.0,
934216,365,3,0.00821917808219178,0.0,
935432,365,12,0.03287671232876712,0.0,
935671,365,13,0.03561643835616438,0.0,
935845,365,337,0.9232876712328767,0.0,
935862,365,8,0.021917808219178082,0.0,
936177,365,3,0.00821917808219178,0.0,
936378,365,1,0.0027397260273972603,0.0,
936484,365,4,0.010958904109589041,0.0,
937370,365,4,0.010958904109589041,0.0,
938785,365,6,0.01643835616438356,0.0,
941467,365,336,0.9205479452054794,0.0,
942490,365,0,0.0,0.0,
944237,365,51,0.13972602739726028,0.0,
945645,365,45,0.1232876712328767,0.0,
945833,365,152,0.41643835616438357,0.0,
948077,365,36,0.09863013698630137,0.0,
953595,365,74,0.20273972602739726,0.0,
955506,365,0,0.0,0.0,
958475,365,274,0.7506849315068493,0.0,
973859,365,0,0.0,0.0,
975179,365,4,0.010958904109589041,0.0,
977722,365,260,0.7123287671232876,0.0,
988176,365,176,0.4821917808219178,0.0,
991961,365,226,0.6191780821917808,0.0,
995443,365,87,0.23835616438356164,0.0,
1000883,365,5,0.0136986301369863,0.0,
1002835,365,0,0.0,0.0,
1003890,365,10,0.0273972602739726,0.0,
1009838,365,10,0.0273972602739726,0.0,
1012003,365,47,0.12876712328767123,0.0,
1018204,365,173,0.473972602739726,0.0,
1022135,365,1,0.0027397260273972603,0.0,
1023693,365,8,0.021917808219178082,0.0,
1027860,365,57,0.15616438356164383,0.0,
1029680,365,134,0.36712328767123287,0.0,
1030411,365,365,1.0,0.0,
1030615,365,351,0.9616438356164384,0.0,
1039766,365,13,0.03561643835616438,0.0,
1042022,365,9,0.024657534246575342,0.0,
1043194,365,4,0.010958904109589041,0.0,
1048798,365,9,0.024657534246575342,0.0,
1049293,365,365,1.0,0.0,
1055661,365,216,0.5917808219178082,0.0,
1060467,365,0,0.0,0.0,
1063855,365,0,0.0,0.0,
1069562,365,276,0.7561643835616438,0.0,
1071843,365,82,0.22465753424657534,0.0,
1080097,365,1,0.0027397260273972603,0.0,
1084046,365,8,0.021917808219178082,0.0,
1084084,365,1,0.0027397260273972603,0.0,
1090307,365,28,0.07671232876712329,0.0,
1090449,365,11,0.030136986301369864,0.0,
1095207,365,210,0.5753424657534246,0.0,
1097520,365,3,0.00821917808219178,0.0,
1097766,365,0,0.0,0.0,
1100686,365,18,0.049315068493150684,0.0,
1100714,365,289,0.7917808219178082,0.0,
1107845,365,308,0.8438356164383561,0.0,
1110749,365,203,0.5561643835616439,0.0,
1112092,365,276,0.7561643835616438,0.0,
1114695,365,10,0.0273972602739726,0.0,
1118153,365,29,0.07945205479452055,0.0,
1122236,365,1,0.0027397260273972603,0.0,
1123977,365,0,0.0,0.0,
1133329,365,307,0.8410958904109589,0.0,
1136522,365,0,0.0,0.0,
1136984,365,60,0.1643835616438356,0.0,
1141226,365,63,0.1726027397260274,0.0,
1142039,365,31,0.08493150684931507,0.0,
1145148,365,62,0.16986301369863013,0.0,
1145590,365,0,0.0,0.0,
1145941,365,42,0.11506849315068493,0.0,
1146966,365,295,0.8082191780821918,0.0,
1147349,365,34,0.09315068493150686,0.0,
1148517,365,277,0.7589041095890411,0.0,
1150519,365,27,0.07397260273972603,0.0,
1157083,365,363,0.9945205479452055,0.0,
1159111,365,38,0.10410958904109589,0.0,
1159226,365,22,0.06027397260273973,0.0,
1163345,365,10,0.0273972602739726,0.0,
1167507,365,29,0.07945205479452055,0.0,
1171574,365,85,0.2328767123287671,0.0,
1175308,365,179,0.4904109589041096,0.0,
1179538,365,39,0.10684931506849316,0.0,
1184846,365,4,0.010958904109589041,0.0,
1187735,365,17,0.04657534246575343,0.0,
1190224,365,0,0.0,0.0,
1190571,365,0,0.0,0.0,
1198799,365,28,0.07671232876712329,0.0,
1198884,365,105,0.2876712328767123,0.0,
1200083,365,5,0.0136986301369863,0.0,
1200829,365,194,0.5315068493150685,0.0,
1204142,365,77,0.21095890410958903,0.0,
1205666,365,28,0.07671232876712329,0.0,
